base_date,Local Code,label_high_20,label_low_20
2020-02-07,2020-02-07-1301,0.085128665,-0.057822727
2020-05-12,2020-05-12-1301,0.08644024,-0.05772184
2020-08-07,2020-08-07-1301,0.086075194,-0.05769913
2020-11-06,2020-11-06-1301,0.08567459,-0.057784222
2020-02-05,2020-02-05-1332,0.1027401,-0.069241345
2020-05-20,2020-05-20-1332,0.101693824,-0.06504806
2020-08-03,2020-08-03-1332,0.106761344,-0.068271786
2020-11-05,2020-11-05-1332,0.10779816,-0.06877286
2020-02-03,2020-02-03-1333,0.08822789,-0.0589727
2020-05-14,2020-05-14-1333,0.08967072,-0.059041962
2020-08-03,2020-08-03-1333,0.08971182,-0.058700405
2020-11-02,2020-11-02-1333,0.088682674,-0.058395296
2020-01-31,2020-01-31-1352,0.09478154,-0.05889649
2020-05-15,2020-05-15-1352,0.09477817,-0.058849752
2020-07-30,2020-07-30-1352,0.09475027,-0.058877617
2020-10-30,2020-10-30-1352,0.09460162,-0.058844425
2020-09-17,2020-09-17-1375,0.09958606,-0.06631104
2020-11-05,2020-11-05-1375,0.09449212,-0.062514514
2020-01-06,2020-01-06-1376,0.091604896,-0.05844552
2020-04-02,2020-04-02-1376,0.09273996,-0.05861996
2020-07-14,2020-07-14-1376,0.09219449,-0.058473006
2020-10-02,2020-10-02-1376,0.09076563,-0.058400594
2020-01-09,2020-01-09-1377,0.08118347,-0.05846694
2020-04-03,2020-04-03-1377,0.08502323,-0.05829887
2020-07-13,2020-07-13-1377,0.08369248,-0.058520406
2020-10-09,2020-10-09-1377,0.081112914,-0.058523834
2020-02-03,2020-02-03-1379,0.08968215,-0.05840622
2020-05-15,2020-05-15-1379,0.08966554,-0.058431506
2020-08-03,2020-08-03-1379,0.08911938,-0.058391154
2020-11-02,2020-11-02-1379,0.089087375,-0.058501743
2020-02-07,2020-02-07-1380,0.095360056,-0.059017338
2020-05-13,2020-05-13-1380,0.095155776,-0.05894769
2020-08-07,2020-08-07-1380,0.09372521,-0.058774725
2020-11-06,2020-11-06-1380,0.091799036,-0.05856306
2020-01-28,2020-01-28-1381,0.087595336,-0.057834625
2020-04-24,2020-04-24-1381,0.087088265,-0.057791933
2020-07-30,2020-07-30-1381,0.08571248,-0.05767159
2020-08-07,2020-08-07-1381,0.08460948,-0.057723984
2020-10-23,2020-10-23-1381,0.08149754,-0.0581161
2020-02-05,2020-02-05-1382,0.09136785,-0.058445685
2020-02-06,2020-02-06-1382,0.09237466,-0.058559425
2020-05-08,2020-05-08-1382,0.09490486,-0.058915958
2020-08-05,2020-08-05-1382,0.09473803,-0.05888138
2020-08-06,2020-08-06-1382,0.094693154,-0.058847703
2020-11-06,2020-11-06-1382,0.09440867,-0.058815837
2020-03-09,2020-03-09-1383,0.08794419,-0.057866603
2020-06-12,2020-06-12-1383,0.08884632,-0.058047175
2020-09-11,2020-09-11-1383,0.08794593,-0.05785829
2020-12-07,2020-12-07-1383,0.0879756,-0.057856917
2020-12-14,2020-12-14-1383,0.088422,-0.057925805
2020-02-13,2020-02-13-1384,0.09545536,-0.059075244
2020-03-12,2020-03-12-1384,0.096871875,-0.059518896
2020-05-14,2020-05-14-1384,0.096649535,-0.059311643
2020-08-12,2020-08-12-1384,0.09624224,-0.059236854
2020-11-13,2020-11-13-1384,0.09611333,-0.059205912
2020-02-13,2020-02-13-1400,0.09892139,-0.059844054
2020-05-14,2020-05-14-1400,0.09963714,-0.059949264
2020-08-13,2020-08-13-1400,0.09967973,-0.06017048
2020-11-12,2020-11-12-1400,0.099731,-0.060185306
2020-01-10,2020-01-10-1401,0.093519814,-0.058739394
2020-04-10,2020-04-10-1401,0.0960399,-0.059223086
2020-07-14,2020-07-14-1401,0.09619652,-0.059233323
2020-07-15,2020-07-15-1401,0.09636403,-0.05923614
2020-10-14,2020-10-14-1401,0.09575601,-0.059130475
2020-01-14,2020-01-14-1407,0.093856566,-0.060423017
2020-03-27,2020-03-27-1407,0.09315955,-0.05954592
2020-04-13,2020-04-13-1407,0.09355233,-0.059473068
2020-07-13,2020-07-13-1407,0.089644946,-0.05878044
2020-10-06,2020-10-06-1407,0.08665814,-0.058664598
2020-10-15,2020-10-15-1407,0.08631498,-0.059389442
2020-02-10,2020-02-10-1413,0.08864226,-0.057985127
2020-05-11,2020-05-11-1413,0.0900257,-0.058333904
2020-08-11,2020-08-11-1413,0.09070641,-0.058402725
2020-11-09,2020-11-09-1413,0.08836553,-0.058145374
2020-02-10,2020-02-10-1414,0.07731033,-0.05758489
2020-05-11,2020-05-11-1414,0.07799148,-0.05795347
2020-08-11,2020-08-11-1414,0.076821655,-0.05715047
2020-11-10,2020-11-10-1414,0.07430711,-0.055395015
2020-02-04,2020-02-04-1417,0.09219267,-0.059653632
2020-05-08,2020-05-08-1417,0.09393287,-0.06016633
2020-08-07,2020-08-07-1417,0.09337278,-0.05992976
2020-11-12,2020-11-12-1417,0.09388902,-0.060473464
2020-01-14,2020-01-14-1418,0.09902974,-0.059838325
2020-03-24,2020-03-24-1418,0.09971828,-0.0599323
2020-04-13,2020-04-13-1418,0.09962894,-0.059893936
2020-07-13,2020-07-13-1418,0.09933703,-0.059831977
